reference	candidate	human_score
Bisher haben 58.595.066 Personen die erste Dosis der COVID-Impfung erhalten, 49.157.835 die zweite Dosis und 2.237.841 die Auffrischimpfung.	Bisher haben 58.595.066 Menschen die erste Dosis des COVID-Impfstoffs erhalten, 49.157.835 haben die zweite Dosis erhalten und 2.237.841 haben die Booster-Shots erhalten.	0.8695293146160198
И если мы уловим его, он будет для нас самой приятной музыкой, ведь это тихое эхо момента нашего сотворения, рождения наблюдаемой Вселенной.	И если мы поднимем его, это будет музыка для наших ушей, потому что это будет тихое эхо того момента нашего создания, нашей наблюдаемой вселенной.	0.3440682631434077
«Я очень рад, и все благодаря команде. Без них я не достиг бы такого уровня, не забил бы столько голов.	«Я в восторге, все дело в команде. Без них я не был бы в том положении, в котором я был для целей, и я отложил немало.	0.3176014736708379
В частности, плазма выздоравливающих пациентов (плазма крови, взятая у больных COVID-19 и содержащая антитела, вероятно, способные защитить от болезни других) все еще ожидает серьезного крупномасштабного исследования методом случайной выборки.	В частности, реконвалесцентная плазма (плазма крови, которая берется у пациентов с Covid-19 и которая содержит антитела, которые могут защитить других от заболевания) еще должна быть должным образом протестирована в крупномасштабном рандомизированном исследовании.	0.0
В США не проводят масштабных рандомизированных исследований, а в результате получают плохие лекарства	В США не проводятся крупные рандомизированные испытания, что приводит к появлению плохих лекарств	0.0
Новый законопроект также предлагает распространить право проведения допроса на детей в возрасте от 14 лет, но только на тех, кто занимается или может заниматься деятельностью, наносящей ущерб защите Австралии и людей от политически мотивированного насилия.	Кроме того, в новом законопроекте предлагается разрешить допросы детей не младше 14 лет, но только тех, которые точно или наверняка вовлечены в деятельность, наносящую ущерб защите Австралии и ее граждан от политически мотивированного насилия.	0.0
Their identities are unexpected; Sun Jianqi is an actor who loves fitness, while Zhang Xindong is a retired special warfare player and a winner of the Warriors Medal for three times.	Their identities are also unexpected, Sun Jianqi is an actor who loves fitness, and Zhang Xindong is a retired special forces member and three-time winner of the Warrior Medal.	0.8257638315441784
Мы решили попробовать свои силы, потому что подумали: «Эй, а что тут сложного-то?	Мы решили попробовать, потому что подумали: «Эй, как это может быть тяжело?»	0.3176014736708379
Со времен Галилея, наблюдавшего небесные тела в свой примитивный телескоп, мы созерцаем вселенную благодаря свету, проходящему через безбрежные века космической истории.	И за то время, как Галилей указал на рудиментарный телескоп на небесные тела, известная Вселенная пришла к нам через свет, на протяжении обширных эпох космической истории.	0.444642063139173
ХУРУПА-ВАЛЛИ (CBSLA). В субботу вечером в Хурупа-Валли вспыхнул лесной пожар, на тушение которого было направлено более 200 пожарных.	JURUPA VALLEY (CBSLA) - Пожар в лесных массивах вспыхнул в субботу днем в долине Юрупа, что привело к реагированию более 200 пожарных.	0.39322087216389445
Настоящие либеральные демократии остерегаются введения авторитарных мер.	Подлинно либеральные демократии остерегся авторитарных мер.	0.6881365262868154
Однако пандемия означает, что этим летом к большим тратам будут готовы немногие клубы, и нет покупателя, который был бы способен совместить стоимость трансфера и зарплату Погбы, чтобы сманить его с «Олд Траффорда».	"Впрочем, из-за пандемии немногие клубы готовы тратить этим летом много денег, и такого покупателя, который мог бы потянуть и комиссию за трансфер, и зарплату Погба, чтобы переманить игрока с ""Олд Траффорд"", сейчас нет."	0.0
In April this year, China Everbright Bank and China Merchants Bank respectively issued announcements that they had been approved by the China Banking and Insurance Regulatory Commission to establish a financial management subsidiary.	In April this year, Everbright Bank and China Merchants Bank respectively announced that they had been approved by the China Banking and Insurance Regulatory Commission to prepare financial management subsidiaries.	0.8670520231213873
Lassen Sie die Power-Taste los.	Lassen Sie die Einschalttaste los.	0.8257638315441784
In terms of payment method: due to the lack of the operating expenses of the business outlets and the cost of the sales people’s salaries, internet products are generally cost-effective, and the payment method is flexible, which supports monthly payment; it reduces the payment pressure of the policyholder, and can leverage of the insurance lever to the greatest extent in the meantime.	From the payment model perspective: Internet platform products are generally more cost-effective because of the lower cost of operating outlets and staff wages. Moreover, the payment method is flexible, supporting monthly payment, reducing paying pressure on policy holders and at the same time leveraging insurance leverage to the greatest extent possible.	0.8505367464905037
The parent object of most of the meteor showers are periodic comets; however, the parent object of the geminid meteor showers is Phaethon, No. 3200 asteroid, which is also an Apollo type asteroid.	The parent bodies of most meteor showers are periodic comets, but the parent body of the Geminid meteor shower is asteroid 3200 Faeton, an Apollo-type asteroid.	0.8670520231213873
3. OSM cosmetics set, nutrition, skincare, colorful, flawless, hydrating toner and lotion skincare gift box for women (cleaner+lotion+eye cream+lotion+moistruizer)	3. Oushiman OSM Cosmetics Set Nutrition Beauty Crystal Color Flawless Hydrating Moisturizing Cleansing Lotion Skin Care Gift Box for Women (Facial Cleanser + Toner + Eye Cream + Emulsion + Cream)	0.8340214698596202
«Десятки тысяч человек в США уже получили плазму выздоравливающих пациентов, но их выборка была не случайной», — сообщил один из основателей программы Recovery профессор Мартин Лэндрэй.	«Десятки тысяч людей уже получили реконвалесцентную плазму в США, но эти методы лечения не были рандомизированы», - сказал профессор Мартин Ландрей, один из основателей программы восстановления.	0.33030553261767137
Metaphysics refers to the study of problems that cannot be answered directly through perception, but only through rational reasoning and logic.	Metaphysics refers to the study of questions that cannot be answered directly through perception through rational reasoning and logic.	0.8257638315441784
"Как заявили в субботу утром официальные представители Департамента лесного хозяйства и пожарной безопасности штата Калифорния, пожар ""Голд"", который начался к югу от Адина, локализован на 40%, но продолжает представлять угрозу для жилых домов и ранчо, а также для сельского хозяйства, животноводства и лесного хозяйства."	В субботу утром официальные лица Cal Fire сообщили, что золотой пожар, начавшийся к югу от Адина, локализован на 40%, поскольку он продолжает угрожать домам и ранчо, а также сельскому хозяйству, животноводству и лесозаготовкам.	0.37534719615644474
Большинство известных нам опылителей - насекомые, но в тропиках также многие птицы и бабочки опыляют.	Сейчас большинство опылителей, о которых мы думаем, - это насекомые, но на самом деле в тропиках опыляется много птиц и бабочек.	0.4128819157720892
Брифинг 6 июля стал наглядным примером отсутствия понимания того, каким образом брифинги перестали быть источником значимой информации для американцев.	Брифинг 6 июля стал ярким примером разногласий по поводу того, как брифинги перестали быть источником значимой информации для американцев.	0.0
Оно делает кое-что, что не делает ни одно другое известное мне растение: когда оно цветёт — вот в середине початок — на протяжении примерно двух дней, его обмен веществ похож на обмен веществ млекопитающих.	И он делает то, чего не знает ни одно другое растение, о котором я знаю, и это то, что, когда оно цветет - это там, где находится посередине, - в течение примерно двух дней оно метаболизируется таким образом, который довольно похож на млекопитающих.	0.3021087188576263
Предсказуемо, большинство вопросов касались данного твита, когда журналист за журналистом задавали Макинани вопросы, сформулированные таким образом, чтобы побудить ее сказать, что Трамп поддерживает флаг Конфедерации.	Предсказуемо, большинство вопросов было о твите в качестве репортера после того, как репортер задал Макэнани вопросы, призванные побудить ее сказать, что Трамп поддерживает флаг Конфедерации.	0.33030553261767137
Ну, это довольно сложная система, но позвольте мне разъяснить, возможно, даже упростить ее.	Что ж, это довольно сложная система, но позвольте мне попытаться объяснить ее, возможно, упростить.	0.0
The new airport is positioned as a major international aviation hub, a new driving force for national development, and as an integrated transport hub for Beijing-Tianjin-Hebei to support the construction of the Xiongan New Area; to date, 66 airlines have expressed interest in flying from Beijing Daxing International Airport, including 20 domestic airlines and 46 airlines from Hong Kong, Macao, Taiwan, and foreign countries, for which the flight schedule applications are slowly undergoing approval.	The new airport is positioned as a large-scale international aviation hub, a new power source for national development and a Beijing-Tianjin-Hebei regional integrated transportation hub that supports the construction of Xiong'an New Area. So far, a total of 66 airlines intend to enter Beijing Daxing International Airport, of which 20 domestic airlines, 46 Hong Kong, Macao, Taiwan and foreign airlines have been approved at all times.	0.8981557968620975
Предположение о том, что космос подобен мембране барабана принадлежит Альберту Эйнштейну, которому мы столь многим обязаны.	Теперь мы обязаны идеей, что пространство может зазвонить как барабан Альберту Эйнштейну, которому мы так много обязаны.	0.5343177733521153
I live in Shangshui, and why is the order in Haihui Garden?	I live in Sheung Shui, why would I order Hai Fai Garden	0.8678777869529315
"Affected by the pandemic, many ""post-90s"" save money to prepare for post-pandemic travels, and the reopening of movie theaters also provides a new way for them to switch from saving money to start consumption."	"Affected by the epidemic, many ""post-90s"" save money to prepare for post-epidemic travel; the reopening of movie theaters also provides a new way to shift from saving money to consumption."	0.8340214698596202
Ich habe ihn letzte Woche in Dorset fotografiert.	Ich habe dieses Ding letzte Woche in Dorset fotografiert.	0.8257638315441784
"АСБР просто нужно будет показать, что допрос ""существенно поможет сбору разведданных"" об иностранном вмешательстве, что, по-видимому, и является главной целью законопроекта."	ASIO просто должно было бы показать, что допрос будет «существенно способствовать сбору разведывательной информации» об иностранном вмешательстве, которое, кажется, является главной целью законопроекта.	0.0
Может быть, это соединение было бы полезным.	Так что, возможно, химическое вещество в этом было бы полезно.	0.0
Но имя Машиши не входило в список кандидатов, предложенный правящими политическими партиями президенту Каису Саиду.	Но Мечичи не был одним из имен, предложенных правящими политическими партиями президенту Кайсу Саиду.	0.0
Aber Einstein hielt Schwarze Löcher zeitlebens für eine mathematische Kuriosität.	Aber Einstein hielt schwarze Löcher immer für eine mathematische Kuriosität.	0.8257638315441784
Нажмите «Настройки»	Нажмите пункт Настройки	0.8257638315441784
Another point is that I especially hate it when projector manufacturers using “diffuse reflection is good for the eyes” as a selling point; please, eyes can see the light on the screen means that it is direct light to the eyes; when it hit the ceiling, eyes cannot see it; if you want to be serious about it, then LCD TV also uses diffused “direct light”; isn’t the ceiling also illuminated when you turn on the TV?	"In addition, I especially hate that projection manufacturers take diffuse reflection as a selling point. Please, the light on the curtain that can be seen by the eyes is direct light for the eyes. If you diffuse reflection on the ceiling, the eyes cannot see it. If you want to be more serious, the LCD TV is also diffuse ""direct light"". If you open the TV ceiling, it will also be illuminated."	0.8257638315441784
Включите свою электронную книгу.	Включите электронную книгу.	0.8257638315441784
Многие экономики во время пандемии внедрили версии германской субсидии Kurzarbeit (неполной занятости).	Многие экономики приняли варианты немецкой субсидии Kurzarbeit (короткая работа) во время пандемии.	0.0
Тони Блэр пообещал никогда не уходить из британской политики в ответ на шквал критики по поводу его действий как члена Лейбористской партии и его агитации против Брекзита.	Тони Блэр пообещал не прекращать вмешиваться в британскую политику после жесткой реакции на его участие в Лейбористской партии и кампании против Brexit.	0.37534719615644474
Если вы видите — немножко бледно получилось — они испускают красные волны, гравитационные волны.	И если вы можете видеть - это довольно слабо - но если вы можете видеть исходящие красные волны, это гравитационные волны.	0.4346125429179887
It is super convenient, the same as when I opened it on my computer, and solved the trouble of not having enough room on my computer’s hard drive.	Super convenient, just like opening it on the computer, it solves the problem of insufficient hard disk of my computer	0.8257638315441784
This is the data from the World Value Survey.	This is data from the World Values Survey.	0.8678777869529315
At the press conference, Hiroyasu Ando, the Chairman of the TIFF, who just took office in August this year, and Festival Director Takeo Hisamatsu, as well as the film selection supervisors of each section, each spoke in turn to introduced topics such as the purpose of the festival and the films to be shown.	At the press conference, Yukang Ando, president of the Tokyo International Film Festival, who just took office in August this year, Makoto Kumatsu, director of the film festival, and the heads of film selections of various units made speeches on the stage, introducing the purpose of the film festival and the films released.	0.886319843104872
A significant characteristic of the geminid meteor shower is the slow speed of the meteoroid, the abundant colors and the large number of fireballs, which is suitable for both visual observation and shooting by beginners of astronomical photography.	A notable feature of the Geminid meteor shower is the slow speed of meteoroids, rich colors, and a lot of fireballs, which are suitable for both visual and astrophotography beginners.	0.8670520231213873
Это крайне амбициозный эксперимент, и в ближайшие несколько лет он будет посвящен улавливанию таких волн.	Это удивительно амбициозный эксперимент, и он будет на продвинутом уровне чувствительности в течение следующих нескольких лет - чтобы забрать это.	0.4346125429179887
Как сообщает Министерство иностранных дел, начиная со вторника все, кто направляется самолетом из Болгарии в Грецию, должны будут предоставить на греческой границе отрицательные результаты анализа ПЦР на коронавирус, выполненного не более чем за 72 часа до въезда на территорию нашего южного соседа.	Со вторника те, кто путешествует самолетом из Болгарии в Грецию, должны будут представить греческим пограничным властям отрицательный результат ПЦР-теста на коронавирус, выполненного до 72 часов до их въезда в нашего южного соседа, объявили в Министерстве иностранных дел.	0.0
